id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,price,is_entire_home,is_private_room,occupancy_proxy,host_scale,price_per_bedroom,price_per_bed,amenities,sample_reviews
2595,Skylit Studio Oasis | Midtown Manhattan Sanctuary,2845,1.4625063262624e+18,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,30.0,47,2022-06-21,0.24,3,256.0,0,Unknown,4.68,,1.0,1.0,240.0,1,0,109.0,small_multi,,240.0,"Hot water, Kitchen, Gym, Essentials, Elevator, Heating, Air conditioning, WiFi","This was our first Airbnb experience, and Jennifer really made it great! No more hotels for us in the future ;) The communication was friendly and she replied very fast. Just great!! | Jennifer is a very nice host. Everything is clean and she really takes care of her guests. We can only recommend her apartment to others."
6848,Only 2 stops to Manhattan studio,15991,1.4625067830435e+18,Allen,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,30.0,197,2025-11-17,0.97,1,198.0,4,Unknown,4.58,2.0,1.0,1.0,81.0,1,0,167.0,single,40.5,81.0,"Kitchen, TV, Essentials, Dryer, Washer, Hot water, Heating, Parking, Air conditioning, WiFi","Great location and well equipped for an extended  stay. | The apartment is clean, and stylish and made a lovely home for the week we stayed there. The location is also great - 5 minute walk from the subway through what felt like a very safe area and with a great diner on the walk home!"
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,1.46250678487422e+18,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,30.0,2,2025-10-07,0.04,2,83.0,1,Unknown,,1.0,1.0,1.0,65.0,0,1,282.0,small_multi,65.0,65.0,"Essentials, Hot water, Heating, WiFi","I was fortunate to call Kae's sanctuary home for a few months. Kae was an extremely accommodating, helpful and responsive host. I would highly recommend this stay for those looking for a home away from home in a vibrant neighborhood."
6990,UES Beautiful Blue Room,16800,1.46250683907631e+18,Cynthia,Manhattan,East Harlem,40.78778,-73.94759,Private room,30.0,251,2026-01-11,1.26,1,214.0,4,Unknown,4.88,1.0,1.0,1.0,70.0,0,1,151.0,single,70.0,70.0,"Hot water, Kitchen, Essentials, Heating, Parking, Air conditioning, WiFi","A estadia com Cyn é maravilhosa! Cyn é a melhor anfitriã que pode ter, apartamento limpo, bem organizado e muito bem localizado em Nyc. | Cynthia was the nicest host I could expect, and she made me to feel at home. The house is really stylish and was a warm place to rest inside that very cold city. If I go back to NYC, I will know where to stay.<br/>Thanks a lot Cynthia!"
7097,"Perfect for Your Parents, With Garden & Patio",17571,1.46250684826534e+18,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,2.0,423,2025-09-23,2.16,2,0.0,26,OSE-STRREG-0000008,4.89,1.0,2.0,1.0,205.0,0,1,365.0,small_multi,205.0,102.5,"Parking, Kitchen, TV, Essentials, Air conditioning, Dryer, Washer, Hot water, Heating, Patio, Garden, WiFi","We had a wonderful time!  The space is private and lovely - the garden gives it an airy, even larger feel. J. was there to greet us, knows the neighborhood and was very accommodating.  We are looking forward to our next visit. | Ms. Jane was very accommodating and very attentive when needed. Her home is not only welcoming but very cozy. It has that “feels like home” vibe. I would definitely stay here again when I come to New York."
7801,Sunny Williamsburg Loft with Private Cedar Sauna,21207,1.46250695131074e+18,Chaya,Brooklyn,Williamsburg,40.718807220459,-73.9561767578125,Entire home/apt,30.0,12,2024-07-31,0.06,1,196.0,0,Unknown,4.9,1.0,1.0,1.0,215.0,1,0,169.0,single,215.0,215.0,"Sauna, Hot water, TV, Kitchen, Pool, Essentials, Heating, WiFi","Nice place, and although I didn't meet Chaya, talked to her on the phone and we worked everything out great. | Absolute best Airbnb experience i had, and i had many. Felt home straight away, when i stepped in the apartment. 10/10"
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,1.46250701020701e+18,Nathalie,Brooklyn,Bedford-Stuyvesant,40.6845558434491,-73.9396341517568,Entire home/apt,30.0,189,2023-10-16,0.94,2,220.0,0,Unknown,4.77,1.0,4.0,1.0,110.0,1,0,145.0,small_multi,110.0,27.5,"Kitchen, TV, Essentials, Air conditioning, Hot water, Patio, Heating, Parking, Garden, WiFi",Bel appartement propre et bien situé.  Très agréable séjour. | Det er en super hyggelig lejlighed og et meget centralt sted<br/>En Go bar lige om hjørnet ❤️
9357,Midtown Pied-a-terre,30193,1.46250712575103e+18,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,30.0,58,2017-08-13,0.29,1,150.0,0,Unknown,4.52,,1.0,1.0,175.0,1,0,215.0,single,,175.0,"Kitchen, TV, Essentials, Doorman, Hot water, Elevator, Heating, Parking, WiFi","Funky studio, helpful host, great location near MOMA<br/>and public transportation, not far from Lincoln Center. | Quiet, safe, comfortable, charming.  Superb location.  Great value.  Laurelle was a kind and considerate host, and great with communication.  The Midtown Pied-a-terre will be at the top of my list when I visit the area again."
10452,Radiant Oasis  B&B Style room,35935,1.46250728388695e+18,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,30.0,82,2025-03-31,0.43,6,229.0,1,Unknown,4.65,1.0,2.0,1.0,90.0,0,1,136.0,professional,90.0,45.0,"Kitchen, TV, Essentials, Garden, Dryer, Washer, Hot water, Heating, Air conditioning, WiFi",As always we had a good stay at Angela's!<br/>The appartment is close to the C Line subway and many groceries around.<br/>Angela is vert helpful and easy to communicate with.<br/>I highly recommend. | Angela was a wonderful host. The place was always clean since she would come by once a week to clean the house. The rooms were spacious and the building is very close to the subway station. I spent a wonderful 4 months staying at her place.
12192,ENJOY Downtown NYC!,46978,1.46250757443204e+18,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,30.0,316,2026-01-06,1.59,2,13.0,2,Unknown,4.39,1.0,1.0,1.0,66.0,0,1,352.0,small_multi,66.0,66.0,"Kitchen, TV, Garden, Dryer, Hot water, Heating, Patio, Air conditioning, WiFi","I went by Edward for the week-end. His apartment is conveniently located clean and affordable. Good deal. | The room was exactly what we expected it to be: basic and clean, and the location is perfect for exploring NYC. Edward is a great guy, and he was a very helpful host before and during our stay."
